0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False
None, None, None, Bar, Bar, Histogram, Bar, Bar, Bar, Bar, Bar, Bar, Bar, Bar, Bar, None
